date,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR
2001-10-01,2.26,,2.37,,2.37,2.47,2.82,3.18,3.9,4.33,4.55,5.39,5.38
2001-10-02,2.27,,2.26,,2.27,2.43,2.77,3.14,3.87,4.31,4.53,5.36,5.34
2001-10-03,2.21,,2.23,,2.24,2.38,2.77,3.14,3.86,4.29,4.5,5.34,5.32
2001-10-04,2.22,,2.21,,2.21,2.37,2.75,3.14,3.88,4.29,4.53,5.33,5.31
2001-10-05,2.21,,2.19,,2.18,2.33,2.71,3.1,3.87,4.26,4.52,5.34,5.31
2001-10-09,2.24,,2.22,,2.2,2.35,2.74,3.16,3.96,4.35,4.62,5.42,5.39
2001-10-10,2.3,,2.22,,2.2,2.35,2.78,3.19,3.96,4.35,4.61,5.38,5.36
2001-10-11,2.3,,2.27,,2.26,2.44,2.88,3.3,4.03,4.43,4.69,5.45,5.41
2001-10-12,2.31,,2.25,,2.24,2.4,2.81,3.23,4.01,4.41,4.68,5.45,5.42
2001-10-15,2.33,,2.25,,2.22,2.39,2.78,3.18,3.97,4.36,4.62,5.4,5.38
2001-10-16,2.32,,2.22,,2.2,2.37,2.77,3.16,3.93,4.32,4.59,5.38,5.35
2001-10-17,2.34,,2.22,,2.2,2.37,2.8,3.21,3.93,4.32,4.59,5.35,5.32
2001-10-18,2.28,,2.19,,2.19,2.36,2.77,3.18,3.93,4.32,4.58,5.34,5.32
2001-10-19,2.29,,2.19,,2.17,2.34,2.77,3.19,3.96,4.37,4.63,5.39,5.36
2001-10-22,2.29,,2.22,,2.18,2.35,2.79,3.22,3.98,4.37,4.63,5.38,5.36
2001-10-23,2.32,,2.2,,2.16,2.37,2.81,3.24,4.01,4.4,4.66,5.4,5.38
2001-10-24,2.3,,2.17,,2.13,2.32,2.72,3.15,3.96,4.34,4.61,5.32,5.32
2001-10-25,2.27,,2.14,,2.09,2.26,2.63,3.06,3.89,4.29,4.56,5.28,5.28
2001-10-26,2.26,,2.14,,2.09,2.26,2.63,3.06,3.88,4.26,4.53,5.27,5.27
2001-10-29,2.24,,2.09,,2.04,2.18,2.55,2.99,3.82,4.22,4.5,5.24,5.25
2001-10-30,2.17,,2.05,,1.97,2.11,2.48,2.92,3.76,4.14,4.44,5.21,5.22
2001-10-31,2.15,,2.05,,1.95,2.07,2.44,2.87,3.66,4.03,4.3,5.05,4.89
