date,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR
1994-02-01,,,3.1,,3.29,3.6,4.2,4.53,5.1,5.43,5.77,6.37,6.31
1994-02-02,,,3.13,,3.3,3.61,4.2,4.53,5.11,5.43,5.77,6.36,6.29
1994-02-03,,,3.2,,3.37,3.73,4.28,4.6,5.17,5.48,5.81,6.38,6.31
1994-02-04,,,3.3,,3.49,3.84,4.42,4.75,5.32,5.62,5.94,6.49,6.37
1994-02-07,,,3.31,,3.49,3.83,4.41,4.78,5.36,5.65,5.96,6.5,6.38
1994-02-08,,,3.32,,3.51,3.86,4.44,4.82,5.38,5.7,6.01,6.55,6.44
1994-02-09,,,3.32,,3.49,3.85,4.43,4.8,5.35,5.67,5.92,6.52,6.43
1994-02-10,,,3.33,,3.52,3.86,4.45,4.83,5.36,5.68,5.91,6.53,6.45
1994-02-11,,,3.33,,3.51,3.84,4.44,4.8,5.34,5.66,5.88,6.5,6.41
1994-02-14,,,3.34,,3.52,3.85,4.44,4.81,5.36,5.67,5.9,6.53,6.45
1994-02-15,,,3.34,,3.51,3.85,4.44,4.8,5.34,5.66,5.88,6.53,6.45
1994-02-16,,,3.34,,3.52,3.86,4.44,4.8,5.35,5.67,5.89,6.53,6.46
1994-02-17,,,3.35,,3.55,3.89,4.5,4.88,5.45,5.77,6.0,6.62,6.54
1994-02-18,,,3.36,,3.59,3.93,4.57,4.94,5.52,5.87,6.09,6.7,6.63
1994-02-22,,,3.4,,3.64,3.93,4.57,4.93,5.5,5.84,6.05,6.67,6.6
1994-02-23,,,3.46,,3.7,4.01,4.67,5.02,5.59,5.92,6.13,6.73,6.65
1994-02-24,,,3.44,,3.72,4.03,4.72,5.07,5.66,6.01,6.22,6.82,6.75
1994-02-25,,,3.44,,3.72,4.05,4.72,5.08,5.65,6.0,6.21,6.8,6.73
1994-02-28,,,3.47,,3.72,4.03,4.67,5.04,5.6,5.94,6.15,6.75,6.67
