date,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR
2002-12-02,1.26,,1.24,,1.31,1.56,2.07,2.51,3.31,3.89,4.22,5.17,
2002-12-03,1.23,,1.23,,1.31,1.57,2.08,2.53,3.33,3.92,4.24,5.18,
2002-12-04,1.23,,1.22,,1.29,1.53,2.02,2.45,3.25,3.85,4.18,5.14,
2002-12-05,1.23,,1.22,,1.28,1.5,1.97,2.39,3.19,3.79,4.13,5.09,
2002-12-06,1.23,,1.21,,1.27,1.47,1.89,2.31,3.13,3.73,4.09,5.08,
2002-12-09,1.24,,1.23,,1.28,1.48,1.88,2.28,3.08,3.68,4.06,5.05,
2002-12-10,1.23,,1.21,,1.27,1.48,1.9,2.3,3.07,3.67,4.06,5.02,
2002-12-11,1.23,,1.21,,1.26,1.46,1.85,2.24,3.02,3.61,4.01,4.97,
2002-12-12,1.2,,1.21,,1.27,1.46,1.85,2.25,3.03,3.62,4.01,4.97,
2002-12-13,1.2,,1.21,,1.28,1.47,1.87,2.27,3.08,3.68,4.07,5.03,
2002-12-16,1.2,,1.23,,1.29,1.5,1.94,2.35,3.14,3.75,4.15,5.11,
2002-12-17,1.22,,1.22,,1.27,1.48,1.89,2.3,3.11,3.71,4.13,5.11,
2002-12-18,1.2,,1.21,,1.26,1.43,1.81,2.21,3.03,3.63,4.06,5.05,
2002-12-19,1.19,,1.21,,1.24,1.37,1.74,2.13,2.91,3.52,3.96,4.97,
2002-12-20,1.18,,1.21,,1.25,1.39,1.76,2.15,2.93,3.53,3.97,4.97,
2002-12-23,1.15,,1.19,,1.26,1.43,1.79,2.17,2.95,3.54,3.98,4.98,
2002-12-24,1.17,,1.19,,1.26,1.42,1.73,2.1,2.92,3.51,3.95,4.93,
2002-12-26,1.14,,1.18,,1.27,1.41,1.7,2.08,2.89,3.47,3.93,4.91,
2002-12-27,1.07,,1.16,,1.23,1.36,1.6,1.97,2.79,3.36,3.83,4.83,
2002-12-30,1.15,,1.22,,1.24,1.36,1.61,1.95,2.76,3.34,3.82,4.82,
2002-12-31,1.2,,1.22,,1.23,1.32,1.61,1.99,2.78,3.36,3.83,4.83,
