date,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR
1990-05-01,,,8.19,,8.49,8.56,9.02,9.09,9.08,9.09,9.08,,9.04
1990-05-02,,,8.17,,8.49,8.63,9.05,9.11,9.1,9.12,9.09,,9.05
1990-05-03,,,8.15,,8.45,8.62,8.98,9.05,9.04,9.05,9.04,,8.99
1990-05-04,,,8.02,,8.25,8.43,8.7,8.77,8.8,8.83,8.84,,8.83
1990-05-07,,,8.09,,8.26,8.44,8.74,8.82,8.83,8.86,8.87,,8.85
1990-05-08,,,8.06,,8.22,8.4,8.68,8.73,8.79,8.83,8.84,,8.81
1990-05-09,,,8.01,,8.2,8.4,8.75,8.79,8.87,8.92,8.88,,8.9
1990-05-10,,,7.97,,8.15,8.33,8.69,8.73,8.8,8.86,8.82,,8.81
1990-05-11,,,7.88,,8.04,8.21,8.55,8.58,8.64,8.68,8.64,,8.64
1990-05-14,,,7.89,,8.06,8.2,8.51,8.54,8.6,8.64,8.61,,8.58
1990-05-15,,,7.91,,8.09,8.23,8.54,8.58,8.64,8.68,8.65,,8.62
1990-05-16,,,7.93,,8.09,8.23,8.54,8.59,8.66,8.71,8.68,,8.64
1990-05-17,,,7.93,,8.1,8.24,8.56,8.6,8.69,8.73,8.69,,8.65
1990-05-18,,,8.01,,8.16,8.31,8.63,8.69,8.74,8.79,8.75,,8.7
1990-05-21,,,8.02,,8.18,8.3,8.61,8.66,8.74,8.77,8.74,,8.69
1990-05-22,,,7.99,,8.18,8.22,8.54,8.58,8.66,8.69,8.65,,8.61
1990-05-23,,,7.91,,8.11,8.17,8.51,8.55,8.61,8.65,8.61,,8.59
1990-05-24,,,7.95,,8.12,8.16,8.5,8.54,8.58,8.66,8.63,,8.6
1990-05-25,,,8.01,,8.18,8.23,8.53,8.59,8.61,8.71,8.69,,8.67
1990-05-29,,,8.02,,8.17,8.23,8.52,8.57,8.59,8.68,8.66,,8.64
1990-05-30,,,8.03,,8.09,8.2,8.48,8.54,8.56,8.65,8.62,,8.6
1990-05-31,,,8.01,,8.12,8.22,8.5,8.53,8.56,8.64,8.6,,8.58
