date,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR
1990-08-01,,,7.67,,7.65,7.63,7.85,7.96,8.06,8.2,8.29,,8.36
1990-08-02,,,7.68,,7.67,7.7,7.9,8.03,8.15,8.3,8.41,,8.46
1990-08-03,,,7.52,,7.55,7.56,7.79,7.98,8.11,8.32,8.43,,8.55
1990-08-06,,,7.54,,7.59,7.63,7.9,8.11,8.29,8.55,8.71,,8.82
1990-08-07,,,7.61,,7.73,7.75,8.04,8.19,8.41,8.65,8.78,,8.86
1990-08-08,,,7.62,,7.69,7.73,8.02,8.19,8.43,8.65,8.77,,8.87
1990-08-09,,,7.66,,7.69,7.72,7.99,8.13,8.33,8.55,8.66,,8.75
1990-08-10,,,7.64,,7.68,7.67,7.95,8.12,8.35,8.58,8.68,,8.79
1990-08-13,,,7.66,,7.7,7.65,7.94,8.08,8.36,8.59,8.71,,8.83
1990-08-14,,,7.68,,7.72,7.69,7.94,8.08,8.34,8.55,8.66,,8.78
1990-08-15,,,7.7,,7.73,7.68,7.94,8.08,8.33,8.54,8.64,,8.76
1990-08-16,,,7.73,,7.83,7.81,8.09,8.23,8.45,8.65,8.76,,8.91
1990-08-17,,,7.72,,7.82,7.8,8.11,8.27,8.49,8.68,8.8,,8.94
1990-08-20,,,7.77,,7.85,7.84,8.13,8.28,8.5,8.7,8.81,,8.92
1990-08-21,,,7.83,,7.88,7.9,8.19,8.32,8.56,8.74,8.84,,8.94
1990-08-22,,,7.85,,7.91,7.94,8.26,8.38,8.62,8.8,8.91,,9.03
1990-08-23,,,7.79,,7.91,7.99,8.26,8.44,8.69,8.88,9.0,,9.11
1990-08-24,,,7.74,,7.88,7.96,8.32,8.5,8.75,8.94,9.05,,9.17
1990-08-27,,,7.78,,7.89,7.89,8.21,8.34,8.61,8.8,8.9,,9.02
1990-08-28,,,7.73,,7.87,7.94,8.23,8.42,8.67,8.85,8.94,,9.07
1990-08-29,,,7.72,,7.84,7.85,8.16,8.33,8.52,8.75,8.84,,8.95
1990-08-30,,,7.7,,7.8,7.83,8.12,8.31,8.52,8.77,8.86,,8.98
1990-08-31,,,7.63,,7.74,7.76,8.07,8.26,8.5,8.77,8.86,,8.99
