date,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR
1990-10-01,,,7.37,,7.53,7.63,7.94,8.12,8.38,8.63,8.71,,8.84
1990-10-02,,,7.41,,7.55,7.61,7.92,8.1,8.35,8.6,8.69,,8.84
1990-10-03,,,7.38,,7.53,7.57,7.88,8.09,8.33,8.6,8.71,,8.85
1990-10-04,,,7.36,,7.51,7.56,7.87,8.04,8.3,8.58,8.67,,8.81
1990-10-05,,,7.27,,7.44,7.51,7.81,8.0,8.27,8.54,8.65,,8.79
1990-10-09,,,7.41,,7.58,7.64,7.94,8.14,8.43,8.72,8.83,,8.98
1990-10-10,,,7.44,,7.6,7.64,7.99,8.19,8.49,8.78,8.89,,9.03
1990-10-11,,,7.35,,7.51,7.6,7.99,8.22,8.51,8.79,8.92,,9.08
1990-10-12,,,7.37,,7.52,7.59,7.94,8.16,8.44,8.7,8.84,,8.98
1990-10-15,,,7.4,,7.56,7.58,7.92,8.13,8.39,8.67,8.8,,8.95
1990-10-16,,,7.39,,7.58,7.58,7.92,8.13,8.39,8.66,8.79,,8.94
1990-10-17,,,7.44,,7.59,7.6,7.92,8.12,8.37,8.63,8.76,,8.89
1990-10-18,,,7.49,,7.57,7.59,7.91,8.08,8.32,8.59,8.71,,8.85
1990-10-19,,,7.48,,7.56,7.55,7.85,8.02,8.25,8.49,8.62,,8.75
1990-10-22,,,7.47,,7.55,7.53,7.85,8.03,8.25,8.5,8.63,,8.76
1990-10-23,,,7.45,,7.53,7.52,7.84,8.0,8.25,8.51,8.65,,8.79
1990-10-24,,,7.46,,7.53,7.52,7.84,8.0,8.26,8.52,8.66,,8.79
1990-10-25,,,7.41,,7.51,7.46,7.8,7.97,8.21,8.47,8.62,,8.74
1990-10-26,,,7.36,,7.45,7.46,7.8,7.97,8.23,8.48,8.63,,8.76
1990-10-29,,,7.38,,7.48,7.48,7.82,8.01,8.27,8.54,8.7,,8.84
1990-10-30,,,7.37,,7.51,7.48,7.79,8.02,8.28,8.56,8.7,,8.83
1990-10-31,,,7.34,,7.46,7.43,7.77,7.97,8.24,8.5,8.65,,8.78
