date,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR
1990-07-02,,,8.0,,8.03,8.06,8.25,8.32,8.35,8.46,8.43,,8.41
1990-07-03,,,7.96,,8.0,8.01,8.2,8.28,8.32,8.44,8.4,,8.4
1990-07-05,,,7.92,,7.98,8.02,8.22,8.31,8.34,8.45,8.42,,8.42
1990-07-06,,,8.01,,8.08,8.14,8.32,8.41,8.44,8.56,8.51,,8.51
1990-07-09,,,8.06,,8.14,8.19,8.39,8.46,8.49,8.6,8.57,,8.55
1990-07-10,,,8.07,,8.17,8.21,8.4,8.48,8.5,8.61,8.57,,8.56
1990-07-11,,,8.05,,8.15,8.18,8.4,8.46,8.49,8.58,8.57,,8.56
1990-07-12,,,7.94,,7.98,7.98,8.2,8.31,8.37,8.49,8.5,,8.5
1990-07-13,,,7.85,,7.91,7.89,8.13,8.25,8.32,8.43,8.45,,8.46
1990-07-16,,,7.86,,7.91,7.89,8.15,8.26,8.31,8.43,8.44,,8.46
1990-07-17,,,7.87,,7.91,7.88,8.13,8.23,8.3,8.42,8.44,,8.46
1990-07-18,,,7.8,,7.88,7.87,8.13,8.24,8.34,8.47,8.5,,8.55
1990-07-19,,,7.79,,7.85,7.87,8.13,8.23,8.33,8.47,8.51,,8.56
1990-07-20,,,7.79,,7.84,7.84,8.08,8.18,8.28,8.43,8.48,,8.54
1990-07-23,,,7.73,,7.78,7.81,8.05,8.17,8.28,8.43,8.48,,8.54
1990-07-24,,,7.78,,7.82,7.88,8.12,8.25,8.35,8.48,8.53,,8.59
1990-07-25,,,7.81,,7.85,7.87,8.08,8.24,8.31,8.44,8.49,,8.55
1990-07-26,,,7.83,,7.86,7.9,8.08,8.24,8.31,8.45,8.49,,8.54
1990-07-27,,,7.77,,7.79,7.8,8.0,8.15,8.25,8.36,8.42,,8.48
1990-07-30,,,7.74,,7.74,7.75,7.93,8.05,8.14,8.28,8.34,,8.4
1990-07-31,,,7.74,,7.72,7.72,7.91,8.04,8.13,8.28,8.36,,8.42
