date,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR
2010-06-01,0.14,,0.16,,0.23,0.35,0.78,1.26,2.09,2.74,3.29,4.03,4.19
2010-06-02,0.13,,0.16,,0.22,0.38,0.82,1.3,2.14,2.81,3.35,4.08,4.24
2010-06-03,0.13,,0.14,,0.22,0.38,0.82,1.31,2.17,2.84,3.39,4.12,4.29
2010-06-04,0.12,,0.14,,0.22,0.34,0.72,1.17,1.98,2.65,3.2,3.95,4.13
2010-06-07,0.1,,0.12,,0.21,0.35,0.74,1.17,1.95,2.62,3.17,3.93,4.11
2010-06-08,0.1,,0.12,,0.19,0.34,0.74,1.21,1.98,2.63,3.18,3.92,4.1
2010-06-09,0.08,,0.1,,0.17,0.33,0.74,1.19,1.99,2.64,3.2,3.94,4.12
2010-06-10,0.06,,0.1,,0.18,0.34,0.79,1.27,2.12,2.78,3.33,4.06,4.25
2010-06-11,0.04,,0.08,,0.16,0.3,0.75,1.21,2.03,2.68,3.24,3.97,4.15
2010-06-14,0.02,,0.07,,0.15,0.31,0.77,1.23,2.07,2.73,3.28,4.02,4.2
2010-06-15,0.03,,0.09,,0.16,0.31,0.79,1.26,2.1,2.77,3.32,4.06,4.23
2010-06-16,0.06,,0.1,,0.17,0.3,0.75,1.22,2.06,2.73,3.27,4.0,4.18
2010-06-17,0.05,,0.09,,0.16,0.28,0.72,1.18,2.01,2.67,3.21,3.95,4.13
2010-06-18,0.04,,0.11,,0.17,0.3,0.74,1.2,2.04,2.7,3.24,3.97,4.15
2010-06-21,0.05,,0.12,,0.17,0.29,0.74,1.21,2.05,2.72,3.26,3.99,4.17
2010-06-22,0.08,,0.13,,0.18,0.29,0.71,1.15,1.98,2.64,3.18,3.92,4.1
2010-06-23,0.07,,0.13,,0.19,0.3,0.66,1.11,1.93,2.58,3.13,3.87,4.05
2010-06-24,0.07,,0.13,,0.19,0.29,0.67,1.1,1.93,2.59,3.14,3.91,4.09
2010-06-25,0.05,,0.13,,0.2,0.29,0.65,1.07,1.9,2.57,3.12,3.89,4.07
2010-06-28,0.07,,0.17,,0.22,0.3,0.62,1.03,1.83,2.49,3.05,3.82,4.01
2010-06-29,0.09,,0.15,,0.22,0.31,0.61,0.99,1.78,2.43,2.97,3.76,3.94
2010-06-30,0.17,,0.18,,0.22,0.32,0.61,1.0,1.79,2.42,2.97,3.74,3.91
