date,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR
2008-06-02,1.94,,1.85,,1.99,2.17,2.51,2.82,3.28,3.56,3.98,4.69,4.68
2008-06-03,1.96,,1.85,,2.0,2.14,2.45,2.75,3.21,3.5,3.92,4.64,4.63
2008-06-04,1.85,,1.84,,1.99,2.14,2.47,2.78,3.26,3.55,3.98,4.72,4.71
2008-06-05,1.79,,1.85,,2.0,2.15,2.52,2.84,3.34,3.63,4.06,4.77,4.75
2008-06-06,1.75,,1.85,,2.0,2.12,2.4,2.73,3.2,3.5,3.94,4.67,4.65
2008-06-09,1.8,,1.89,,2.12,2.29,2.73,3.03,3.41,3.65,4.02,4.68,4.64
2008-06-10,2.0,,2.02,,2.24,2.53,2.91,3.2,3.54,3.77,4.11,4.76,4.7
2008-06-11,1.91,,1.96,,2.18,2.47,2.83,3.16,3.49,3.73,4.1,4.76,4.72
2008-06-12,1.92,,2.0,,2.28,2.62,3.03,3.35,3.68,3.9,4.23,4.83,4.77
2008-06-13,1.86,,1.99,,2.3,2.64,3.05,3.38,3.73,3.95,4.27,4.86,4.79
2008-06-16,1.89,,2.07,,2.42,2.68,3.02,3.33,3.73,3.94,4.25,4.84,4.77
2008-06-17,1.82,,1.99,,2.33,2.58,2.94,3.25,3.66,3.89,4.23,4.85,4.78
2008-06-18,1.7,,1.93,,2.29,2.53,2.89,3.19,3.57,3.81,4.16,4.77,4.72
2008-06-19,1.59,,1.91,,2.29,2.58,2.99,3.28,3.67,3.89,4.22,4.82,4.76
2008-06-20,1.49,,1.87,,2.23,2.49,2.88,3.17,3.57,3.81,4.16,4.76,4.71
2008-06-23,1.55,,1.87,,2.31,2.57,2.98,3.27,3.65,3.87,4.19,4.77,4.71
2008-06-24,1.58,,1.83,,2.25,2.53,2.87,3.14,3.52,3.76,4.1,4.7,4.65
2008-06-25,1.49,,1.81,,2.22,2.48,2.82,3.11,3.54,3.78,4.12,4.72,4.65
2008-06-26,1.42,,1.74,,2.16,2.39,2.68,2.97,3.44,3.69,4.07,4.67,4.62
2008-06-27,1.29,,1.68,,2.12,2.35,2.65,2.92,3.36,3.62,3.99,4.58,4.53
2008-06-30,1.6,,1.9,,2.17,2.36,2.63,2.91,3.34,3.61,3.99,4.59,4.53
